train_loss,val_loss,dice_mean,dice_rv,dice_myo,dice_lv
0.8424293965101242,0.6314350468582577,0.45750503144205174,0.3656731817201514,0.4273000957042563,0.5795418169017476
0.5756271790133582,0.5557293678654565,0.5994317733653992,0.4787651253088067,0.590946793923237,0.7285834008641541
0.5189590293831295,0.5375520104169845,0.6217124741087209,0.562467903654888,0.5599636216396832,0.7427058970315916
0.5031412576966815,0.4596645918488502,0.7421962057210525,0.6700230181589723,0.7317751125591557,0.8247904864450296
0.4886690983176231,0.5651395667592685,0.5952426105493955,0.3555967635811143,0.6773556700875214,0.7527753979795508
0.48203626155853274,0.44356814831495284,0.7771441207200992,0.6962820499988612,0.7761758488413055,0.8589744633201308
0.47507158392005494,0.5683031346400579,0.6182796139196339,0.6467199212209107,0.6090041113644838,0.5991148091735073
0.47025493221150505,0.43640933222240874,0.7918003751272943,0.7284916266140462,0.7841288992295078,0.8627805995383286
0.4674322735932138,0.45149053043789333,0.770387143107762,0.7001522682193253,0.7626816443914529,0.8483275167125078
0.46420496162441044,0.42866058591339323,0.7965584193273632,0.7255815824980072,0.7913603938144186,0.8727332816696635
0.4615251813663377,0.42604685336351394,0.8013913912504874,0.7412502119938532,0.7901008599910183,0.872823101766591
0.3159241241340836,0.12914536363134782,0.7583279791778689,0.6812743454595694,0.7651884761697428,0.8285211159042942
0.10866344010664357,0.1274705624828736,0.7987427037079367,0.7323038913682103,0.7959058192626732,0.8680184004929266
0.11938222097025977,0.12465989760226674,0.788412236175278,0.7120110721423708,0.7922616757235481,0.860963960659915
0.10797265302803781,0.12988673205590912,0.8096751325458652,0.7547851680416842,0.804443308432114,0.8697969211637974
0.10382114112584127,0.11846212738090091,0.8092919854221107,0.7392848842031327,0.808960905741647,0.8796301663215524
0.09900708270155721,0.1141344782585899,0.8180045359574518,0.7521514375507832,0.8251652287273872,0.8766969415941849
0.09849502127824558,0.12877010891420973,0.8157006617725017,0.7531518303813078,0.8119840153365159,0.881966139599681
0.09749728749402695,0.11195415197561184,0.8281530933392626,0.7724351541796312,0.8264572784668062,0.8855668473713504
0.10140310985967517,0.11704738652540578,0.814828382732857,0.7532152510549298,0.810828209068717,0.880441688074924
0.10409971807565954,0.1302316509642535,0.8080565259493014,0.7469046262837946,0.7878222797811031,0.8894426717830064
0.09984234321034617,0.11740756802260875,0.8137561045719988,0.7533361594281603,0.8168010326843818,0.8711311216034541
0.09722700915402836,0.10979404403931564,0.8168813605997647,0.7541066661977501,0.8206620232206612,0.8758753923808827
0.09384115518174238,0.11082486559533411,0.8194995028132729,0.7464296245589632,0.8284432117281288,0.8836256721527269
0.0946615484977762,0.11241246385706796,0.8091762167538233,0.7449890673160553,0.8146866431846711,0.8678529397607437
0.09283025240939524,0.10812119871377945,0.818397983992284,0.7625106699986033,0.821158421998934,0.8715248599793147
0.09273898330413632,0.1057537751727634,0.8283180178936682,0.7613548726588487,0.8328089173517975,0.8907902636703583
0.09924041354407867,0.10724241469469335,0.818914909723747,0.7688691407738634,0.8237189332258354,0.8641566551715425
0.09570690522177352,0.12569296504060426,0.8100137406635725,0.7593005418239795,0.8035705349042048,0.8671701452625331
0.09616829170741968,0.1211619030063351,0.7764555582577742,0.726809673011303,0.7887172340189369,0.8138397677430829
0.09884212028442158,0.11259377196845081,0.8244375176066785,0.7623540530652564,0.8272903312696144,0.8836681684851646
0.0963764259705527,0.11452285221881336,0.8063398656750259,0.7401464235148217,0.8084598161825319,0.8704133573277243
