train_loss,val_loss,dice_mean,dice_rv,dice_myo,dice_lv
0.6798212734858194,0.6291755988862779,0.27000938850128126,0.16302713894961365,0.32443321710497214,0.32256780944925806
0.5686453844441308,0.609886659251319,0.3709980257250858,0.30796814949667833,0.3712023374988421,0.4338235901797368
0.5203881194856432,0.5257508606380886,0.5640082103498899,0.48129600793860544,0.5383751888945699,0.6723534342164945
0.4964019090599484,0.47222464402516684,0.6791594508399657,0.5938024572331948,0.6704554898080541,0.7732204054786482
0.4811372333102756,0.4451833891868591,0.713520236385381,0.5912395814121724,0.7082506441263761,0.8410704836175946
0.32281792839368184,0.14963598039415146,0.6996864262502481,0.6064845757292849,0.6929078604576092,0.7996668425638501
0.12567201561397975,0.13298148658540515,0.729249893642009,0.6452964602573084,0.7134171710508626,0.8290360496178562
0.12376276930173238,0.14474955055448743,0.6974675437055028,0.5524380398621112,0.7173885905949196,0.8225760006594776
0.15259295132425096,0.1661892321374681,0.5954294595771512,0.36524782314874293,0.6542366778672631,0.7668038777154477
0.13259619447920057,0.11789947827657064,0.7177374072546728,0.6546574148791607,0.6877797964480844,0.8107750104367732
0.11891353567441304,0.14520548661549887,0.6492025172498715,0.610258209656886,0.6319692094559566,0.7053801326367718
0.12571428087022568,0.13084753062989976,0.6845984199088937,0.5433893396984786,0.7091112496340509,0.8012946703941515
0.14443781852722168,0.20555302328533598,0.5141389050862241,0.40130941643253654,0.5289466051719359,0.6121606936541999
0.14002741442786323,0.11805474705166287,0.7283959956460836,0.6409513167276675,0.7253117962181568,0.8189248739924263
0.1180407632721795,0.12742957909901936,0.6961546948421228,0.6036055378083672,0.6919499178384912,0.7929086288795095
0.1328680596086714,0.11132438633177015,0.732674536927233,0.6182378254194355,0.7372625925514883,0.842523192810775
0.1317946215470632,0.14944106181462605,0.6429479683750117,0.5481195346501313,0.6386460124201436,0.7420783580547601
0.1461284992429945,0.12761752128601075,0.6973150158957893,0.6008637389795459,0.7015831530386326,0.7894981556691893
0.13547180122799343,0.11737053685718113,0.7175360605922266,0.6223720891557976,0.7171573612490311,0.8130787313718514
0.11750335587395562,0.10379381100336711,0.7533650239626151,0.6467749899253249,0.757621807215983,0.8556982747465373
0.11215061902999877,0.1959295622507731,0.548229996582677,0.4558722616650572,0.5505240802237282,0.6382936478592456
0.11352611210611131,0.10486756828096178,0.7439404484452105,0.6584827721829178,0.7468958547929438,0.8264427183597696
0.13537172198295594,0.11358395576477051,0.7333252433619667,0.6290090399470971,0.742353732509566,0.8286129576292368
0.12163120600912306,0.11911592192120023,0.7193064401417087,0.6472159437638111,0.6862166595288474,0.8244867171324677
