train_loss,val_loss,dice_mean,dice_rv,dice_myo,dice_lv
0.8667197663254208,0.8730316993925307,0.00556988408451306,0.0016935085303651403,0.01090030122344615,0.004115842499727892
0.6870679794417487,0.6662970885965559,0.3647773256677726,0.2878546812526375,0.3361688689578597,0.47030842679282053
0.5946552026934094,0.561288104057312,0.5596634007190033,0.4273216853668885,0.5376465586744541,0.7140219581156674
0.5346939823362562,0.5042674471934636,0.656480708510636,0.5280889219658684,0.6796266265502833,0.7617265770157564
0.5099265331692165,0.47179391274849575,0.7262882842213033,0.6450032819248736,0.7225289524691861,0.8113326182698503
0.49422814822859235,0.465446168118053,0.7202519740072418,0.6158296762314598,0.7188003806820238,0.8261258651082423
0.4852781405713823,0.4692037673128976,0.7489698185805054,0.6212928919501755,0.7680367825947372,0.8575797811966037
0.47897288355562423,0.46215784433815216,0.74923891148816,0.6157773423322181,0.7701087905075944,0.8618306016246674
0.47402584304412204,0.4442315838403172,0.7829728329102643,0.7136670598722618,0.7800109116270125,0.8552405272315188
0.4705515393283632,0.45961641831530464,0.7693044845701257,0.6920896928320278,0.7786156105363897,0.8372081503419593
0.4696385970711708,0.4430469533138805,0.7803645072503912,0.6859555200618856,0.7829771134817954,0.8721608882074925
0.40458341420110727,0.14200097812546625,0.7626939425674121,0.6554746998166575,0.7839015446381994,0.8487055832473793
0.11890591928528414,0.13306109957396983,0.7611301075321917,0.6808308220549839,0.771467727523495,0.8310917730180962
0.11103350713228186,0.12400680305229293,0.7713894265913651,0.6838506026965816,0.7934767986432865,0.8368408784342273
0.10717868372177085,0.1257911857465903,0.7711817160411384,0.6815566673226978,0.77678242046386,0.8552060603368573
0.11168472657808,0.13997271864364544,0.7856176370246871,0.6867280575345354,0.803731376258888,0.8663934772806381
0.10482053534231252,0.12514220516300864,0.8140608838222878,0.7227375887033313,0.8262471055040265,0.8931979572595056
0.1111458645015955,0.11604804007129536,0.7896739945932887,0.7234581351794046,0.7930499696387694,0.8525138789616921
0.10602699613405599,0.12571013250698646,0.7924087209372122,0.7230679184943437,0.8058188038254247,0.8483394404918683
0.11793038041020433,0.12351161224146684,0.7739699746727421,0.6743140470200372,0.7805408725991917,0.8670550043989972
0.1109532164927158,0.1102094233656923,0.8082278787322892,0.7441816021236453,0.8083084052887516,0.8721936287844709
0.11049830103500022,0.11196956905225913,0.8082429252572365,0.7396291455993401,0.8095904711414786,0.8755091590308907
0.11574322382402089,0.13370553620159625,0.7709662913232979,0.7046120980291197,0.7803953817369891,0.8278913942037844
0.10769974342443876,0.15858926573975218,0.7510774680381903,0.6688742295373231,0.7455918955538661,0.8387662790233816
0.10269424831080767,0.10902330305841235,0.817055888529315,0.7395232461429947,0.8240715359232108,0.8875728835217396
0.1067942500528362,0.15355801181660758,0.7308939410767152,0.6409377039569181,0.7393469876673037,0.8123971316059238
0.10588454130209154,0.11464208605802721,0.8125279239900558,0.7572904288004606,0.8017340572458682,0.8785592859238386
0.1051572761974401,0.22572181129621136,0.7320966574451845,0.6193240879495677,0.7686425250116735,0.8083233593743125
0.09879615443034305,0.11034254345215029,0.81115384623308,0.7414226733410179,0.821944003157756,0.8700948622004658
0.110273677257614,0.11045312562336525,0.8211786433417708,0.7400691661268773,0.8281068623361021,0.8953599015623331
0.1055953728262749,0.11005496398856242,0.8163324800306592,0.7527193148069236,0.8169839356839657,0.8792941896010883
0.10038075058514045,0.10816797331389454,0.8048832901143804,0.7357359035913624,0.8154897440005752,0.863424222751204
0.10576052014302048,0.1134417237713933,0.7997501353558224,0.7276727263954016,0.8047724123490919,0.8668052673229737
